Color,G,G(LED on),G(Green)
Black Bean,51,283,816
Salute,53,316,689
Luxurious Red,58,362,663
Stop,58,427,1046
Rookwood Shutter Green,59,308,791
Naval,61,336,612
Darkroom,62,328,893
Salty Dog,64,319,740
Roycroft Bottle Green,64,350,740
Andiron,64,327,816
Brick Paver,64,372,816
Evergreens,88,404,1071
Hot Cocoa,98,450,893
Pink Flamingo,113,693,1556
Intense Teal,118,571,1479
Coming up Roses,119,730,1556
Ruby Violet,126,725,1607
Downing Slate,127,662,791
Briny,128,665,1556
Dried Thyme,128,733,893
Nankeen,128,741,969
Gold Coast,133,781,1071
Sheraton Sage,134,742,1760
Rookwood Amber,134,720,740
Gecko,136,751,1224
Argyle,138,720,1556
Direct Green,138,744,1989
Roycroft Rose,143,854,1275
Poolhouse,149,843,1097
Major Blue,158,955,2550
Jacaranda,158,978,2423
Julep,170,1025,2091
Magical,175,1263,2576
Faded Flaxflower,180,1287,1836
Krypton,192,1391,2703
Contented,192,1401,2372
Center Stage,194,1394,3009
Undercool,195,1503,2397
Cheerful,199,1541,1454
Romaine,210,1725,4055
Daisy,211,1715,2678
Waterfall,227,1955,2984
