Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Biscuits,38,130,3,4,3,0,18,"Breads, cereals, fastfood,grains"
Bran flakes,25,117,3,0,0,0.1,32,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",23,60,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
Rye,23,55,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",454,"1,225",39,15,12,9,229,"Breads, cereals, fastfood,grains"
Whole-wheat,454,"1,100",48,14,10,67.5,216,"Breads, cereals, fastfood,grains"
Whole-wheat,23,55,2,1,0,0.31,11,"Breads, cereals, fastfood,grains"
Corn bread ground meal,50,100,3,4,2,0.3,15,"Breads, cereals, fastfood,grains"
Cornflakes,25,110,2,0,0,0.1,25,"Breads, cereals, fastfood,grains"
Corn grits cooked,242,120,8,0,0,0.2,27,"Breads, cereals, fastfood,grains"
Corn meal,118,360,9,4,2,1.6,74,"Breads, cereals, fastfood,grains"
Crackers,14,55,1,1,0,0,10,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",11,45,1,1,0,0,8,"Breads, cereals, fastfood,grains"
Farina,238,105,3,0,0,8,22,"Breads, cereals, fastfood,grains"
Flour,110,460,39,22,0,2.9,33,"Breads, cereals, fastfood,grains"
Wheat (all purpose),110,400,12,1,0,0.3,84,"Breads, cereals, fastfood,grains"
Wheat (whole),120,390,13,2,0,2.8,79,"Breads, cereals, fastfood,grains"
Macaroni,140,155,5,1,0,0.1,32,"Breads, cereals, fastfood,grains"
Baked with cheese,220,475,18,25,24,0,44,"Breads, cereals, fastfood,grains"
Muffins,48,135,4,5,4,0,19,"Breads, cereals, fastfood,grains"
Noodles,160,200,7,2,2,0.1,37,"Breads, cereals, fastfood,grains"
Oatmeal,236,150,5,3,2,4.6,26,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",75,180,8,6,5,0,23,"Breads, cereals, fastfood,grains"
Popcorn salted,28,152,3,7,2,0.5,20,"Breads, cereals, fastfood,grains"
Puffed rice,14,55,0,0,0,0,12,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,28,105,1,0,0,0.6,26,"Breads, cereals, fastfood,grains"
Rice,208,748,15,3,0,1.2,154,"Breads, cereals, fastfood,grains"
Converted,187,677,14,0,0,0.4,142,"Breads, cereals, fastfood,grains"
White,191,692,14,0,0,0.3,150,"Breads, cereals, fastfood,grains"
Rice flakes,30,115,2,0,0,0.1,26,"Breads, cereals, fastfood,grains"
Rice polish,50,132,6,6,0,1.2,28,"Breads, cereals, fastfood,grains"
Rolls,50,411,3,12,11,0.1,23,"Breads, cereals, fastfood,grains"
of refined flour,38,115,3,2,2,0,20,"Breads, cereals, fastfood,grains"
whole-wheat,40,102,4,1,0,0.1,20,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,250,285,13,10,6,0.5,35,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,250,210,6,5,3,0.5,36,"Breads, cereals, fastfood,grains"
Spanish rice,250,217,4,4,0,1.2,40,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,28,100,3,1,0,0.7,23,"Breads, cereals, fastfood,grains"
Waffles,75,240,8,9,1,0.1,30,"Breads, cereals, fastfood,grains"
Wheat germ,68,245,17,7,3,2.5,34,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,65,260,20,7,3,2.5,36,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,30,103,4,1,0,0.7,25,"Breads, cereals, fastfood,grains"
"Wheat, cooked",200,275,12,1,0,4.4,35,"Breads, cereals, fastfood,grains"
Cows' milk,976,660,32,40,36,0,48,Dairy products
Milk skim,984,360,36,0,0,0,52,Dairy products
Buttermilk,246,127,9,5,4,0,13,Dairy products
"Evaporated, undiluted",252,345,16,20,18,0,24,Dairy products
Fortified milk,"1,419","1,373",89,42,23,1.4,119,Dairy products
Powdered milk,103,515,27,28,24,0,39,Dairy products
"skim, instant",85,290,30,0,0,0,42,Dairy products
"skim, non-instant",85,290,30,0,0,1,42,Dairy products
Goats' milk,244,165,8,10,8,0,11,Dairy products
(1/2 cup ice cream),540,690,24,24,22,0,70,Dairy products
Cocoa,252,235,8,11,10,0,26,Dairy products
skim. milk,250,128,18,4,3,1,13,Dairy products
(cornstarch),248,275,9,10,9,0,40,Dairy products
Custard,248,285,13,14,11,0,28,Dairy products
Ice cream,188,300,6,18,16,0,29,Dairy products
Ice milk,190,275,9,10,9,0,32,Dairy products
Cream or half-and-half,120,170,4,15,13,0,5,Dairy products
or whipping,119,430,2,44,27,1,3,Dairy products
Cheese,225,240,30,11,10,0,6,Dairy products
uncreamed,225,195,38,0,0,0,6,Dairy products
Cheddar,17,70,4,6,5,0,0,Dairy products
"Cheddar, grated cup",56,226,14,19,17,0,1,Dairy products
Cream cheese,28,105,2,11,10,0,1,Dairy products
Processed cheese,28,105,7,9,8,0,0,Dairy products
Roquefort type,28,105,6,9,8,0,0,Dairy products
Swiss,28,105,7,8,7,0,0,Dairy products
Eggs raw,100,150,12,12,10,0,0,Dairy products
Eggs Scrambled or fried,128,220,13,16,14,0,1,Dairy products
Apple betty,100,150,1,4,0,0.5,29,"Desserts, sweets"
Bread pudding,200,374,11,12,11,0.2,56,"Desserts, sweets"
Cakes,40,110,3,0,0,0,23,"Desserts, sweets"
Chocolate fudge,120,420,5,14,12,0.3,70,"Desserts, sweets"
Cupcake,50,160,3,3,2,0,31,"Desserts, sweets"
Fruit cake,30,105,2,4,3,0.2,17,"Desserts, sweets"
Gingerbread,55,180,2,7,6,0,28,"Desserts, sweets"
"Plain, with no icing",55,180,4,5,4,0,31,"Desserts, sweets"
Sponge cake,40,115,3,2,2,0,22,"Desserts, sweets"
Candy,25,104,0,3,3,0,19,"Desserts, sweets"
Chocolate creams,30,130,0,4,4,0,24,"Desserts, sweets"
Fudge,90,370,0,12,11,0.1,80,"Desserts, sweets"
Hard candies,28,90,0,0,0,0,28,"Desserts, sweets"
Marshmallows,30,98,1,0,0,0,23,"Desserts, sweets"
Milk chocolate,56,290,2,6,6,0.2,44,"Desserts, sweets"
Chocolate syrup,40,80,0,0,0,0,22,"Desserts, sweets"
Doughnuts,33,135,2,7,4,0,17,"Desserts, sweets"
"Gelatin, made with water",239,155,4,0,0,0,36,"Desserts, sweets"
Ice cream,300,250,0,0,12,10,0,"Desserts, sweets"
Ices,150,117,0,0,0,0,48,"Desserts, sweets"
"9"" diam. pie",135,330,3,13,11,0.1,53,"Desserts, sweets"
Cherry Pie,135,340,3,13,11,0.1,55,"Desserts, sweets"
Custard,130,265,7,11,10,0,34,"Desserts, sweets"
Lemon meringue,120,300,4,12,10,0.1,45,"Desserts, sweets"
Mince,135,340,3,9,8,0.7,62,"Desserts, sweets"
Pumpkin Pie,130,265,5,12,11,8,34,"Desserts, sweets"
Puddings Sugar,200,770,0,0,0,0,199,"Desserts, sweets"
3 teaspoons sugar,12,50,0,0,0,0,12,"Desserts, sweets"
Tapioca cream pudding,250,335,10,10,9,0,42,"Desserts, sweets"
Beer,480,228,0,0,0,0,8,"Drinks,Alcohol, Beverages"
Gin,28,70,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Wines,120,164,0,0,0,0,9,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),120,100,0,0,0,0,5,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Club soda,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Cola drinks,346,137,0,0,0,0,38,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,346,161,0,0,0,0,42,"Drinks,Alcohol, Beverages"
Ginger ale,346,105,0,0,0,0,28,"Drinks,Alcohol, Beverages"
Root beer,346,140,0,0,0,0,35,"Drinks,Alcohol, Beverages"
Coffee,230,3,0,0,0,0,1,"Drinks,Alcohol, Beverages"
Tea,230,4,0,0,0,0,1,"Drinks,Alcohol, Beverages"
Yolks,34,120,6,10,8,0,0,"Fats, Oils, Shortenings"
Butter,14,100,0,11,10,0,0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,100,665,0,100,88,0,0,"Fats, Oils, Shortenings"
Lard,110,992,0,110,92,0,0,"Fats, Oils, Shortenings"
Margarine,112,806,0,91,76,0,0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",14,100,0,11,9,0,0,"Fats, Oils, Shortenings"
Mayonnaise,15,110,0,12,5,0,0,"Fats, Oils, Shortenings"
Corn oil,14,125,0,14,5,0,0,"Fats, Oils, Shortenings"
Olive oil,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Safflower seed oil,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
French dressing,15,60,0,6,2,0,2,"Fats, Oils, Shortenings"
Thousand Island sauce,15,75,0,8,3,0,1,"Fats, Oils, Shortenings"
Clams,85,87,12,1,0,0,2,"Fish, Seafood"
Cod,100,170,28,5,0,0,0,"Fish, Seafood"
Crab meat,85,90,14,2,0,0,1,"Fish, Seafood"
Fish sticks fried,112,200,19,10,5,0,8,"Fish, Seafood"
Flounder,100,200,30,8,0,0,0,"Fish, Seafood"
Haddock,85,135,16,5,4,0,6,"Fish, Seafood"
Halibut,100,182,26,8,0,0,0,"Fish, Seafood"
Herring,100,211,22,13,0,0,0,"Fish, Seafood"
Lobster,100,92,18,1,0,0,0,"Fish, Seafood"
Mackerel,85,155,18,9,0,0,0,"Fish, Seafood"
Oysters,85,169,8,11,2.7,0,10,"Fish, Seafood"
Oyster stew,85,125,19,6,1,0,0,"Fish, Seafood"
Salmon,85,120,17,5,1,0,0,"Fish, Seafood"
Sardines,85,180,22,9,4,0,0,"Fish, Seafood"
Scallops,100,104,18,8,0,0,10,"Fish, Seafood"
Shad,85,170,20,10,0,0,0,"Fish, Seafood"
Shrimp,85,110,23,1,0,0,0,"Fish, Seafood"
