courseName,courseLetter,courseNumber,Item,ItemType,,CourseName,CourseLetter,CourseNumber
AME 105,AME,105,"Contemporary & Popular Music, BM checksheet",Program,,AME 105,AME,105
AME 105,AME,105,MUH 105,CrossList,,AME 121,AME,121
AME 121,AME,121,ANT 121,CrossList,,AME 122,AME,122
AME 121,AME,121,ANT 308,Prereq,,AME 201W,AME,201W
AME 121,AME,121,American Studies Minor checksheet,Program,,AME 205,AME,205
AME 121,AME,121,HUM 308,Prereq,,AME 265,AME,265
AME 121,AME,121,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,AME 289,AME,289
AME 122,AME,122,ANT 122,CrossList,,AME 302,AME,302
AME 122,AME,122,ANT 308,Prereq,,AME 303,AME,303
AME 122,AME,122,American Studies Minor checksheet,Program,,AME 304W,AME,304W
AME 122,AME,122,"Elementary Education, BS checksheet",Program,,AME 305,AME,305
AME 122,AME,122,HUM 308,Prereq,,AME 306,AME,306
AME 122,AME,122,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,AME 318,AME,318
AME 122,AME,122,"Secondary Education, BS checksheet",Program,,AME 335,AME,335
AME 201W,AME,201W,AME 302,Prereq,,AME 340,AME,340
AME 201W,AME,201W,AME 303,Prereq,,AME 389,AME,389
AME 201W,AME,201W,AME 304W,Prereq,,AME 420,AME,420
AME 201W,AME,201W,AME 305,Prereq,,AME 430,AME,430
AME 201W,AME,201W,AME 318,Prereq,,AME 458W,AME,458W
AME 201W,AME,201W,AME 389,Prereq,,AME 476,AME,476
AME 201W,AME,201W,AME 458W,Prereq,,AME 494,AME,494
AME 201W,AME,201W,AME 494,Prereq,,AME 496,AME,496
AME 201W,AME,201W,AME 496,Prereq,,ANT 101,ANT,101
AME 201W,AME,201W,American Studies Minor checksheet,Program,,ANT 121,ANT,121
AME 201W,AME,201W,"Community Policing, AS checksheet",Program,,ANT 122,ANT,122
AME 201W,AME,201W,ENG 303,Prereq,,ANT 289,ANT,289
AME 201W,AME,201W,ENG 318,Prereq,,ANT 294,ANT,294
AME 201W,AME,201W,ENG 458W,Prereq,,ANT 308,ANT,308
AME 201W,AME,201W,Embodied Social Justice Minor checksheet,Program,,ANT 394,ANT,394
AME 201W,AME,201W,English Minor checksheet,Program,,ANT 489,ANT,489
AME 201W,AME,201W,"English, BA checksheet",Program,,ARC 100,ARC,100
AME 201W,AME,201W,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ARC 101,ARC,101
AME 201W,AME,201W,MUS 303,Prereq,,ARC 102,ARC,102
AME 201W,AME,201W,SOC 302,Prereq,,ARC 110,ARC,110
AME 201W,AME,201W,SSC 305,Prereq,,ARC 111,ARC,111
AME 201W,AME,201W,WGS 303,Prereq,,ARC 120,ARC,120
AME 201W,AME,201W,WGS 304W,Prereq,,ARC 123,ARC,123
AME 201W,AME,201W,WGS 305,Prereq,,ARC 194,ARC,194
AME 201W,AME,201W,WGS 318,Prereq,,ARC 203,ARC,203
AME 205,AME,205,American Studies Minor checksheet,Program,,ARC 204,ARC,204
AME 205,AME,205,REL 205,CrossList,,ARC 212,ARC,212
AME 205,AME,205,SSC 205,CrossList,,ARC 221,ARC,221
AME 265,AME,265,American Studies Minor checksheet,Program,,ARC 231,ARC,231
AME 265,AME,265,DRA 265,CrossList,,ARC 241,ARC,241
AME 265,AME,265,DRA 389,Prereq,,ARC 251,ARC,251
AME 265,AME,265,DRA 394,Prereq,,ARC 261,ARC,261
AME 265,AME,265,DRA 494,Prereq,,ARC 262,ARC,262
AME 302,AME,302,American Studies Minor checksheet,Program,,ARC 286,ARC,286
AME 302,AME,302,SOC 302,CrossList,,ARC 289,ARC,289
AME 303,AME,303,American Studies Minor checksheet,Program,,ARC 294,ARC,294
AME 303,AME,303,ENG 303,CrossList,,ARC 305,ARC,305
AME 303,AME,303,MUS 303,CrossList,,ARC 306,ARC,306
AME 303,AME,303,WGS 303,CrossList,,ARC 312,ARC,312
AME 303,AME,303,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ARC 322,ARC,322
AME 304W,AME,304W,American Studies Minor checksheet,Program,,ARC 332,ARC,332
AME 304W,AME,304W,"Optional Women's, Gender, and Sexuality Studies Concentration checksheet",Program,,ARC 350,ARC,350
AME 304W,AME,304W,WGS 304W,CrossList,,ARC 361,ARC,361
AME 304W,AME,304W,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ARC 406,ARC,406
AME 305,AME,305,American Studies Minor checksheet,Program,,ARC 407,ARC,407
AME 305,AME,305,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ARC 408,ARC,408
AME 305,AME,305,"Optional Women's, Gender, and Sexuality Studies Concentration checksheet",Program,,ARC 417,ARC,417
AME 305,AME,305,SSC 305,CrossList,,ARC 421,ARC,421
AME 305,AME,305,WGS 305,CrossList,,ARC 431,ARC,431
AME 305,AME,305,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ARC 441,ARC,441
AME 306,AME,306,American Studies Minor checksheet,Program,,ARC 486,ARC,486
AME 306,AME,306,"Optional Women's, Gender, and Sexuality Studies Concentration checksheet",Program,,ARC 489,ARC,489
AME 306,AME,306,WGS 306,CrossList,,ARC 494,ARC,494
AME 306,AME,306,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ARC 509,ARC,509
AME 318,AME,318,American Studies Minor checksheet,Program,,ARC 510,ARC,510
AME 318,AME,318,ENG 318,CrossList,,ARH 105,ARH,105
AME 318,AME,318,"English, BA checksheet",Program,,ARH 106,ARH,106
AME 318,AME,318,WGS 318,CrossList,,ARH 205,ARH,205
AME 318,AME,318,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ARH 206,ARH,206
AME 335,AME,335,Embodied Social Justice Certificate checksheet,Program,,ARH 214W,ARH,214W
AME 335,AME,335,Embodied Social Justice Minor checksheet,Program,,ARH 274,ARH,274
AME 335,AME,335,HTY 335,CrossList,,ARH 289,ARH,289
AME 335,AME,335,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ARH 294,ARH,294
AME 335,AME,335,INT 335,CrossList,,ARH 312,ARH,312
AME 335,AME,335,WGS 335,CrossList,,ARH 375,ARH,375
AME 340,AME,340,American Studies Minor checksheet,Program,,ARH 389,ARH,389
AME 340,AME,340,HTY 340,CrossList,,ARH 394,ARH,394
AME 340,AME,340,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ARH 489,ARH,489
AME 340,AME,340,WGS 340,CrossList,,ARH 494,ARH,494
AME 340,AME,340,"Women, Gender & Sexuality Studies, Minor checksheet",Program,,ART 100,ART,100
AME 389,AME,389,American Studies Minor checksheet,Program,,ART 109,ART,109
AME 420,AME,420,Embodied Social Justice Certificate checksheet,Program,,ART 112,ART,112
AME 420,AME,420,Embodied Social Justice Minor checksheet,Program,,ART 113,ART,113
AME 420,AME,420,INT 420,CrossList,,ART 115,ART,115
AME 420,AME,420,WGS 420,CrossList,,ART 140,ART,140
AME 430,AME,430,American Studies Minor checksheet,Program,,ART 202,ART,202
AME 430,AME,430,Embodied Social Justice Certificate checksheet,Program,,ART 203,ART,203
AME 430,AME,430,Embodied Social Justice Minor checksheet,Program,,ART 209,ART,209
AME 430,AME,430,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ART 210,ART,210
AME 430,AME,430,INT 430,CrossList,,ART 215,ART,215
AME 430,AME,430,WGS 430,CrossList,,ART 219,ART,219
AME 458W,AME,458W,ENG 458W,CrossList,,ART 221,ART,221
AME 458W,AME,458W,English Minor checksheet,Program,,ART 229,ART,229
AME 458W,AME,458W,"English, BA checksheet",Program,,ART 251,ART,251
AME 458W,AME,458W,No Concentration in minor checksheet,Program,,ART 289,ART,289
AME 476,AME,476,HTY 476,CrossList,,ART 294,ART,294
ANT 101,ANT,101,ANT 289,Prereq,,ART 302,ART,302
ANT 101,ANT,101,ANT 294,Prereq,,ART 309,ART,309
ANT 101,ANT,101,ANT 308,Prereq,,ART 310,ART,310
ANT 101,ANT,101,ANT 394,Prereq,,ART 315,ART,315
ANT 101,ANT,101,ANT 489,Prereq,,ART 319,ART,319
ANT 101,ANT,101,Behavioral Science Minor checksheet,Program,,ART 321,ART,321
ANT 101,ANT,101,HUM 308,Prereq,,ART 330,ART,330
ANT 101,ANT,101,"Secondary Education, BS checksheet",Program,,ART 351,ART,351
ANT 101,ANT,101,Social Science Minor checksheet,Program,,ART 394,ART,394
ANT 101,ANT,101,"Social Science, AA checksheet",Program,,ART 409,ART,409
ANT 101,ANT,101,"Social Science, BA checksheet",Program,,ART 415,ART,415
ANT 121,ANT,121,AME 121,CrossList,,ART 419,ART,419
ANT 121,ANT,121,ANT 308,Prereq,,ART 420,ART,420
ANT 121,ANT,121,American Studies Minor checksheet,Program,,ART 421,ART,421
ANT 121,ANT,121,HUM 308,Prereq,,ART 430,ART,430
ANT 121,ANT,121,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ART 451,ART,451
ANT 122,ANT,122,AME 122,CrossList,,ART 489,ART,489
ANT 122,ANT,122,ANT 308,Prereq,,ART 494,ART,494
ANT 122,ANT,122,American Studies Minor checksheet,Program,,ART 496,ART,496
ANT 122,ANT,122,"Elementary Education, BS checksheet",Program,,ART 550,ART,550
ANT 122,ANT,122,HUM 308,Prereq,,ART 610,ART,610
ANT 122,ANT,122,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,ASL 101,ASL,101
ANT 122,ANT,122,"Secondary Education, BS checksheet",Program,,ASL 102,ASL,102
ANT 308,ANT,308,"Elementary Education, BS checksheet",Program,,AVI 110,AVI,110
ANT 308,ANT,308,HUM 308,CrossList,,AVI 120,AVI,120
ANT 308,ANT,308,"Holocaust, Genocide & Human Rights Studies Minor checksheet",Program,,AVI 141,AVI,141
ANT 308,ANT,308,"Secondary Education, BS checksheet",Program,,AVI 142,AVI,142
ARC 100,ARC,100,"Accounting, BSBA checksheet",Program,,AVI 145,AVI,145
ARC 100,ARC,100,"Applied Science, AAS checksheet",Program,,AVI 150,AVI,150
ARC 100,ARC,100,"Applied Science, BAS checksheet",Program,,AVI 151,AVI,151
ARC 100,ARC,100,"Aviation-Flight Instructor Concentration, BS checksheet",Program,,AVI 189,AVI,189
ARC 100,ARC,100,"Aviation-Unmanned Aircraft Systems Concentration, BS checksheet",Program,,AVI 241,AVI,241
ARC 100,ARC,100,"Biology MLT 2+2, BA checksheet",Program,,AVI 242,AVI,242
ARC 100,ARC,100,"Biology, BA (Pre-Med Track) checksheet",Program,,AVI 289,AVI,289
ARC 100,ARC,100,"Biology, BA checksheet",Program,,AVI 320,AVI,320
ARC 100,ARC,100,"Business Administration, AS checksheet",Program,,AVI 341,AVI,341
ARC 100,ARC,100,"Community Policing, AS checksheet",Program,,AVI 342A,AVI,342A
ARC 100,ARC,100,"Computer Information Systems, AS checksheet",Program,,AVI 342B,AVI,342B
ARC 100,ARC,100,"Computer Information Systems, BS checksheet",Program,,AVI 343A,AVI,343A
ARC 100,ARC,100,"Cybersecurity, AS checksheet",Program,,AVI 343B,AVI,343B
ARC 100,ARC,100,"Cybersecurity, BS checksheet",Program,,AVI 380,AVI,380
ARC 100,ARC,100,"Data Science, BS checksheet",Program,,AVI 389,AVI,389
ARC 100,ARC,100,"Dental Assisting, AS checksheet",Program,,AVI 394,AVI,394
ARC 100,ARC,100,"Dental Hygiene, BS checksheet",Program,,AVI 420,AVI,420
ARC 100,ARC,100,"Elementary Education, BS checksheet",Program,,AVI 441,AVI,441
ARC 100,ARC,100,"English, BA checksheet",Program,,AVI 442,AVI,442
ARC 100,ARC,100,"Information & Library Science, BS checksheet",Program,,AVI 450,AVI,450
ARC 100,ARC,100,"Interdisciplinary Studies, BA checksheet",Program,,AVI 460,AVI,460
ARC 100,ARC,100,"Justice Studies, AS checksheet",Program,,AVT 101,AVT,101
ARC 100,ARC,100,"Justice Studies, BS checksheet",Program,,AVT 102,AVT,102
ARC 100,ARC,100,"Liberal Studies, AA checksheet",Program,,AVT 104,AVT,104
ARC 100,ARC,100,"Liberal Studies, BA checksheet",Program,,AVT 201,AVT,201
ARC 100,ARC,100,"Management, BSBA checksheet",Program,,AVT 202,AVT,202
ARC 100,ARC,100,"Mental Health & Human Services, AS checksheet",Program,,AVT 203,AVT,203
ARC 100,ARC,100,"Mental Health & Human Services, BS checksheet",Program,,AVT 204,AVT,204
ARC 100,ARC,100,"Nursing (4-Year), BSN checksheet",Program,,AVT 301,AVT,301
ARC 100,ARC,100,"Nursing (RN-BSN Completion), BSN checksheet",Program,,AVT 302,AVT,302
ARC 100,ARC,100,"Public Administration 2+2, BS checksheet",Program,,AVT 303,AVT,303
ARC 100,ARC,100,"Public Administration, AS checksheet",Program,,AVT 304,AVT,304
ARC 100,ARC,100,"Public Administration, BS checksheet",Program,,AVT 305,AVT,305
ARC 100,ARC,100,"Secondary Education, BS checksheet",Program,,AVT 306,AVT,306
ARC 100,ARC,100,"Social Science, AA checksheet",Program,,BIO 100,BIO,100
ARC 100,ARC,100,"Social Science, BA checksheet",Program,,BIO 104,BIO,104
ARC 101,ARC,101,ARC 102,Prereq,,BIO 110,BIO,110
ARC 101,ARC,101,ARC 110,Coreq,,BIO 111,BIO,111
ARC 101,ARC,101,ARC 120,Prereq,,BIO 114,BIO,114
ARC 101,ARC,101,ARC 123,Prereq,,BIO 115,BIO,115
ARC 101,ARC,101,"Architecture, B.Arch checksheet",Program,,BIO 116,BIO,116
ARC 102,ARC,102,ARC 120,Coreq,,BIO 202,BIO,202
ARC 102,ARC,102,ARC 203,Prereq,,BIO 204,BIO,204
ARC 102,ARC,102,ARC 251,Prereq,,BIO 210,BIO,210
